path,period,strategy,wealth
12,21,buy_and_hold,0.515625
12,22,buy_and_hold,0.5078125
12,23,buy_and_hold,0.515625
12,24,buy_and_hold,0.5078125
12,25,buy_and_hold,0.515625
12,26,buy_and_hold,0.5078125
12,27,buy_and_hold,0.515625
12,28,buy_and_hold,0.5078125
12,29,buy_and_hold,0.515625
12,30,buy_and_hold,0.5078125
12,31,buy_and_hold,0.50390625
12,32,buy_and_hold,0.5078125
12,33,buy_and_hold,0.515625
12,34,buy_and_hold,0.5078125
12,35,buy_and_hold,0.50390625
12,36,buy_and_hold,0.5078125
12,37,buy_and_hold,0.515625
12,38,buy_and_hold,0.5078125
12,39,buy_and_hold,0.50390625
12,40,buy_and_hold,0.50195312
12,41,buy_and_hold,0.50390625
12,42,buy_and_hold,0.50195312
12,43,buy_and_hold,0.50390625
12,44,buy_and_hold,0.50195312
12,45,buy_and_hold,0.50390625
12,46,buy_and_hold,0.50195312
12,47,buy_and_hold,0.50097656
12,48,buy_and_hold,0.50048828
12,49,buy_and_hold,0.50097656
12,50,buy_and_hold,0.50048828
12,51,buy_and_hold,0.50024414
12,52,buy_and_hold,0.50048828
12,53,buy_and_hold,0.50024414
12,54,buy_and_hold,0.50012207
12,55,buy_and_hold,0.50006104
12,56,buy_and_hold,0.50012207
12,57,buy_and_hold,0.50006104
12,58,buy_and_hold,0.50012207
12,59,buy_and_hold,0.50024414
12,60,buy_and_hold,0.50012207
12,61,buy_and_hold,0.50024414
12,62,buy_and_hold,0.50012207
12,63,buy_and_hold,0.50006104
12,64,buy_and_hold,0.50012207
12,65,buy_and_hold,0.50024414
12,66,buy_and_hold,0.50012207
12,67,buy_and_hold,0.50006104
12,68,buy_and_hold,0.50003052
12,69,buy_and_hold,0.50006104
12,70,buy_and_hold,0.50012207
12,71,buy_and_hold,0.50006104
12,72,buy_and_hold,0.50003052
12,73,buy_and_hold,0.50001526
12,74,buy_and_hold,0.50000763
12,75,buy_and_hold,0.50000381
12,76,buy_and_hold,0.50000191
